Review,Label,Label_model,Prob_model
Langsung di sambut dengan ramah n megah,,positif,0.5630117627876255
Salah satu tempat makan seafood di seputaran Gejayan rasa gurame bakar dan jamur telor asin enak,,positif,0.5068225068322467
"Lokasi strategis, parkir mobil cuma bisa di tepi jalan. Tempatnya lebih sempit daripada cabang yang di Kotabaru. Ada area semi outdoor di belakang tapi masih kena asap bakaran juga. Pelayanannya baik, reservasi via WA responsif. Porsi makanan cukup, rasa lumayan masuk untuk selera saya. Ada musholla dan toilet.",,negatif,0.6518904995895746
"Enak, ga terlalu pricey, worth it",,negatif,0.6309825309369641
"enak, lumayan murah karena porsinya besar. kehitung cepat juga meski kondisinya rame orderan.",,positif,0.7526589599147294
"Pelayanan yang ramah. Bau bakaran yang menggugah, bikin pengen mampir. Setelah mampir terjyata emang enak hehehe",,positif,0.5165812125532688
pelayanannya bagus sekali! 🤗🤩 …,,positif,0.5432247365955182
"Sambutan kompak dari pegawai ketika datang dan selesai makan menunjukan kerjasama pegawai yang baik. Kondisi tempat makan agak panas ya lebih ke pengap, mungkin karena udara hembusan kipas berada pada samping dapur persis. Saya tiba waktu …",,negatif,0.5557015129125145
"Tiap masuk & pulang di Zona Seafood di cabang manapun, selalu berasa ertong disorakin, seru banget! …",,positif,0.6563625541339854
Alhamdulillah. Tersembunyi di tengah kota.,,positif,0.5561484042802659
cita rasa yg perlu di coba lagi,,negatif,0.5117129380563773
Harganya murah meriah,,positif,0.7066194548849152
"Harganya worth it, cuma parkiran khusus nya mobil sangat susah karena jalan didepan baru diperbaiki",,negatif,0.6884822743941685
"Untuk kualitas namakan sudah cukup bagus, menu makanan banyak ragam seafood, untuk rasa makannya enak semua frash. Pelayanan memiliki cirikhas saat menyambut dan memberi sialam perpisahan, parkirannya sempit",,positif,0.5391411450964156
"Setelah seharian beraktifitas rasa lapar mimin terobati.
Makanan enak dan tempatnya nyaman.",,positif,0.716820293816202
"Mampir ke resto ini karena nginep di hotel yang cukup dekat lokasi. Buka mulai sore sampai malam hari. Pertama lewat ramai orang keluar masuk, ga pakai baca review ketika memutuskan makan disini. Alasannya bosan dengan menu itu2 saja dan …",,negatif,0.586323315607684
Enak saya sampe kenyang,,positif,0.5646379966756407
"Untuk kalian pecinta seafood, wajib banget mampir di warung makan ini. Makanannya enak2.
Salam sari CV Sabun Pondok🤤👌 …",,positif,0.6319697499686118
mamamia lezatosszzzz,,negatif,0.5042016806722688
Enakkkkk semua,,negatif,0.5387750771792156
Recommended 😍😍😍 mari silahkan selamat datang …,,positif,0.6082187445289434
"Zona 🦞🦀🦐🦑 Gejayan: 🍤🍤🍤 Goreng Tepungnya Juara!

Tanpa ragu, 🙋 langsung pesan menu ini. Dan benar saja, udangnya sangat renyah di …",,positif,0.5079635542836954
Sangat membantu,,positif,0.5344641344842702
"Makanannya oke, ikan fresh. Service nya jg ramah dan cepat. Ikan bakarnya mantab bgt lah",,positif,0.5429098696790022
"Tempat nyaman dan cukup luas, ada outdoornya, harga bersahabat, rasa enak, dan pelayanan cepat. Top 👍 …",,positif,0.7316312050917421
Disemua cabang rasanya sama2 enak..,,positif,0.5894391267327826
"Pilihan menunya banyak,harga cocok dan rasanya pun enak2. Cocok kalo pengen makan rame2 bareng temen2 atau keluarga. Tempatnya juga cukup luas,ada pilihan indoor dan outdoornya. Pegawainya super ramah,berasa masuk Indomaret setiap masuk Zona Seafood. Ada mushola juga.",,positif,0.792565187803517
"Barracuda bakar manis madunya enak, bandeng tanpa duri bakar manis madu juga mantap, apalagi gaya sambutan yg super sekali...",,positif,0.5576729177840275
"Tempat nya bagus, tp yg bagian outdoor nya, kalau bagian dalam sumpek kena asap masakan. Untuk taste, kurang cocok dilidah sy",,negatif,0.656148753930207
"Soal rasa bikin ketagihan, harga relatif terjangkau...",,positif,0.5107354085399927
Jika bawa bahan sendiri bisa dimasakin kah min?,,negatif,0.6136579156688142
"Berkali  kali kesini, tempat nya enak dan bersih apalagi yang beratapkan langit. Seafood banyak pilihan dengan saus beraneka ragam + harga reasonable. Rekomendasi kalau kesini = udang saus telur asin + ca kangkung wess kombinasi duo mantap 👍 …",,positif,0.6466931931718729
"Makan seafood di sini memang sudah paling bener sih. Mas mas dan mbak mbaknya sungguh ramah dan ramai sekali. Mau masuk dan keluar aja mas pemasaknya selalu menyambut wkwkwkw aku suka banget. makanannya pun juga enak, pas buat aku. Banyak pilihannya. Aku yakin aku akan makan lagi di sana asoy",,positif,0.5481770421754363
Enak pool,,positif,0.6580443516654998
"Tempatnya lumayan luas, pegawainya juga ramah, harga bisa menyesuaikan kantong, walau rame tp nggak nunggu lama buat makanan keluar, letaknya dipinggir jalan jadi mudah buat ditemukan",,positif,0.5682988092771809
"makanannya enak, harga sediki pricey, tp worth to buy, seafoodnya juga lengkap, rekomended bgt klo mau makan seafood,",,positif,0.6437249077834912
Nikmat.. cocok,,positif,0.6569552443773704
"Overall rasa makanannya enak, sambalnya mantap pedasnya",,positif,0.5707297671856142
"masakanya enak,karyawanya ramah2,tempatnya nyaman,harga bersahabat",,positif,0.7890574132264816
"Kata teman, makanan di sini enak. Tidak ada salahnya mencoba rekomendasinya dr app pesan antar. Setelah pesanan tiba dan mencicipinya, oke, cukup tahu saja. Bumbu lada hitam dominan pedas lada, tidak ada rasa bumbu lain, begitu pula dg saus padangnya, tasteless. Menu makanan ada bermacam-macam, dari beragam seafood",,negatif,0.5685145821082271
"Baru pertama makan seafood di sini. Kami pesan cumi asam manis, udang saus padang, dan kerang simping saus mentega. Dari segi rasa udah enak dan isinya lumayan banyak kalau untuk dimakan sendiri. Sayang, udang saus padangnya sedikit …",,negatif,0.6608920231194956
Gila ...mantep murah banget dgn menu seafood...rasanya juga wenakkkk...bawa keluarga pas banget ini,,positif,0.7344571113680305
"Tempat makan seafood terlaris dan paling ramai. Kirain bakal lama nunggu ternyata penyajiannya ga butuh waktu lama. Rasanya mantap sesuai selera. Sambel kecap biasanya cuma manis sedikit potongan cabe, di sini kerasa manis pedesnya mantap. …",,negatif,0.5573888383495331
Pelayanannya luarbiasa,,positif,0.5732768274438562
Enakkk rasanya.....seafood nya segarr......harga ekonomis....👍👍👍👍👍👍👍👍 …,,positif,0.6824083651176484
"Pertama, waktu dateng sama mau pulang kompak diucapin mas mba staffnya, lucu bgtt. …",,positif,0.6218274066600663
"Makanannya enak, service cepat, tempat cukup luas.
Jamur telur asinnya rekomen banget..
Sayurnya enak, bumbunya jozz..😆🙏
Dori menteganya juga enak bgt xixi:33 …",,positif,0.6593341742373989
"Enak puol, recomended banget buat yang nyari makanan seafood-based di Jogja. Tempat juga sangat nyaman dan luas, ada outdoornya. Thumbs up 👍 …",,positif,0.8237932333585957
"lagi mumet mumetnya ngerjain laprak, ngeracunin anak anak aja biar ikut makan disini, dan alhamdulillah pada sukaaa jugak! semangattttt semester 4 teman temannn",,negatif,0.5695719193092376
nyobain kesini kebetulan krn rating tinggi.. ternyata memang seenak itu rasa nya..,,negatif,0.5145494543874285
"Not badlah. Emang harganya jg dibanding seafood di jogja yang lain, ini cenderung lebih affordable.
Pelayanan sangat ramah. …",,positif,0.6116030798598908
"Ikan bumbu parepe dan terong asam manisnya enak, sesuai rasanya pas
Ikannya pakai baracuda jadi gede, biasanya ikan baracuda aga hambar tapi ini ketutup sama spices",,negatif,0.6577102935211755
"Udang nya biasa, tapi terong nya enak dan cumi nya enak
Dan untuk teh manisnya tolong gula nya jangan kebanyakan",,negatif,0.6525082505713716
"Seafood murah tapi enak rasa nya
Jooosss",,positif,0.5876030413184214
Bakar madunya recomended,,positif,0.6391153639109821
"Worth it bgt resto ini..
Recommended bgt 🤩 …",,positif,0.5541062366185809
Mantab poll ikan bakar parapenya,,positif,0.5829333587047244
sambutannya menyenangkan,,negatif,0.5042016806722688
Makanannya enak harganya murah untuk ukuran di tengah kota. Dan lagi di awal disambut dan di akhir ketika pergi juga disambut diberi ucapan yg menggema baru nemu yg kayak gini soalnya. Good job keren ini tempat.,,positif,0.6136577302661218
"Karena Tutup jam 11 malam, jadi pesen makanan duluan lewat WhatsApp.
Tempatnya Bersih dan Nyaman.
Disambut dengan teriakan Selamat Datang datang. …",,positif,0.5641064354743531
selalu jadi tempat makan favorit tiap ke jogja,,positif,0.671369627169653
mantappp,,negatif,0.5042016806722688
Porsi mantapp,,positif,0.5170357433148575
"Hidangan laut segar dan banyak menu vegetarian. Terkadang, kabut asap pembakaran dapat memengaruhi aroma rambut Anda. Selalu ramah dan mengucapkan selamat tinggal dengan antusias. Pelayanannya lezat dan sangat ramah. Jangan lupa pesan kremesan renyah dan sambal bawang 👍 …",,positif,0.6481615784330104
"pertama kali kesini pas bukber kemaren..t4nya lumayan nyaman,bersih karyawan nya cekatan & ramah² 😉 …",,positif,0.6263398505675227
